title,location,coordinate
Phở Gà Quán Thánh,"42 Quán Thánh, P. Quán Thánh, Quận Ba Đình, Hà Nội","21.040403, 105.846215"
Lẩu Mẹt - Phạm Hồng Thái,"11 Phạm Hồng Thái, Quận Ba Đình, Hà Nội","21.04328375, 105.8459531"
Xôi Bàn Thờ 546 - La Thành,"546 La Thành, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.0236091, 105.8190715"
Let's Sushi - Trần Huy Liệu,"102C5 Trần Huy Liệu, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.027313, 105.823013"
Saint Honoré - Ẩm Thực Pháp - Núi Trúc,"20 Núi Trúc, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.028446, 105.824241"
Huyền - Sứa Đỏ Hải Phòng,"19 Hoè Nhai, Quận Ba Đình, Hà Nội","21.042057, 105.847514"
Nhà Bim - Mì Trộn Indomie - Shop Online,"26 Ngõ 283 Đội Cấn, Quận Ba Đình, Hà Nội","21.035635, 105.819298"
Haochi Dimsum & Tea - Trần Huy Liệu,"112D1 Trần Huy Liệu, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.0272276, 105.8224113"
"Al Fresco's - Pizza, Mỳ Ý, Sườn, Steak Bò Bít Tết - Láng Hạ","108 K1 Láng Hạ, Quận Ba Đình, Hà Nội","21.020884, 105.817968"
Bánh Canh Minh Châu,"29 Đào Tấn, P. Cống Vị, Quận Ba Đình, Hà Nội","21.032636, 105.8079005"
Della Seta - Salad & Pasta - Trần Huy Liệu,"112D1 Trần Huy Liệu, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.027108, 105.822317"
Bò Nhúng Dấm - Hoè Nhai,"19 Hoè Nhai, P. Nguyễn Trung Trực, Quận Ba Đình, Hà Nội","21.0409548, 105.8459124"
Thanh Phong - Phở Gà,"102 E2 Khu 7, 2Ha, Vĩnh Phúc, Quận Ba Đình, Hà Nội","21.04328344, 105.8080702"
Highland CaCao - Đội Cấn,"293 Đội Cấn, Quận Ba Đình, Hà Nội","21.035529, 105.818213"
Bánh Cuốn Nóng - 297 Đội Cấn,"297 Đội Cấn, Quận Ba Đình, Hà Nội","21.0355659, 105.8181271"
Bánh Cuốn Nóng Gia Truyền Phong Phú - Đội Cấn,"50 Đội Cấn, Quận Ba Đình, Hà Nội","21.0345262, 105.8302118"
Vịt 29 - Đội Cấn - Cơm Xôi Phở Cháo,"151B Đội Cấn, P. Đội Cấn, Quận Ba Đình, Hà Nội","21.0349194, 105.8266042"
Quán Bà Liêm - Đặc Sản Lươn Nghệ An,"319 Đội Cấn, P. Liễu Giai, Quận Ba Đình, Hà Nội","21.0356356, 105.8178207"
Bún Riêu - Đội Cấn,"322 Đội Cấn, P. Cống Vị, Quận Ba Đình, Hà Nội","21.0378702, 105.812862"
Võ Thùy Linh - Ăn Vặt Online,"28 Ngách 34 Ngõ 379 Đội Cấn, P. Liễu Giai, Quận Ba Đình, Hà Nội","21.038726, 105.814115"
Bún Đậu - Thành Công,"108 B4 Thành Công, P. Thành Công, Quận Ba Đình, Hà Nội","21.022166, 105.815884"
"Bún Cá, Bánh Đa Hải Phòng","92 Đội Cấn, P. Đội Cấn, Quận Ba Đình, Hà Nội","21.03450337, 105.8289734"
Quang Hà - Sinh Tố & Nước Ép,"44 Ngõ 173 Ngách 75 Hoàng Hoa Thám, P. Ngọc Hà, Quận Ba Đình, Hà Nội","21.03847621, 105.8233267"
Bee’ Food - Cơm Trộn Gà Nướng Kiểu Hàn & Ăn Vặt Online,"10 Ngõ 55/48 Hoàng Hoa Thám, P. Ngọc Hà, Quận Ba Đình, Hà Nội","21.0391296, 105.8255543"
Milo Đá Bào - Kim Mã,"160 Kim Mã, Quận Ba Đình, Hà Nội","21.031897, 105.825886"
Ốc Quế Hồ Tây,"1 Thanh Niên, Quận Ba Đình, Hà Nội","21.047256, 105.8372037"
Ngọc Tuyền - Bún Thang,"58 Đào Tấn, Quận Ba Đình, Hà Nội","21.034041, 105.805761"
"Nga Tám - Phở Gà, Bún Thang & Bún Mọc","D2 Giảng Võ, Quận Ba Đình, Hà Nội","21.025572, 105.822068"
Thịt Xiên Nướng Dương Thuỷ,"53 Chợ Linh Lang (Đối Diện 72 Linh Lang), P. Cống Vị, Quận Ba Đình, Hà Nội","21.035073, 105.810418"
Takumi - Ẩm Thực Nhật Bản,"95 Linh Lang, Quận Ba Đình, Hà Nội","21.035097, 105.8104"
Sữa Chua Hộp - Kim Mã Thượng,"10 Kim Mã Thượng, Quận Ba Đình, Hà Nội","21.035791, 105.813875"
Teen Food - Nem Chua Rán Chị Hạnh - Kim Mã,"29 Ngõ 290 Kim Mã, Quận Ba Đình, Hà Nội","21.03228, 105.82261"
Bò Nhúng Dấm & Cánh Gà Chiên,"16 Dốc Hòe Nhai, Quận Ba Đình, Hà Nội","21.042197, 105.847764"
Trà Sữa Shun Cha - Cửa Bắc,"90 Cửa Bắc, P. Quán Thánh, Quận Ba Đình, Hà Nội","21.0419513, 105.8425638"
Bống - Chè & Sữa Chua,"101 H6 TT. Thành Công, Ngõ 12 Láng Hạ, P. Thành Công, Quận Ba Đình, Hà Nội","21.020258, 105.817053"
Bánh Mì Bách - Huỳnh Thúc Kháng,"3 Ngõ 16 Huỳnh Thúc Kháng, Quận Ba Đình, Hà Nội","21.01878, 105.810607"
Bếp Hoàng Minh - Sữa Chua Thạch Lá Nếp,"66 Phó Đức Chính, P. Trúc Bạch, Quận Ba Đình, Hà Nội","21.048748, 105.841485"
Bà Gái - Đặc Sản Đà Nẵng - Trúc Bạch,"51 Trúc Bạch, Quận Ba Đình, Hà Nội","21.047889, 105.841423"
Xôi Bà Cụ - Quán Thánh,"146 Quán Thánh, Quận Ba Đình, Hà Nội","21.042663, 105.84148"
The Vuu Cakes - Shop Online,"17 Phan Huy Ích, P. Nguyễn Trung Trực, Quận Ba Đình, Hà Nội","21.041653, 105.845798"
Yenyen Bakery - Nguyễn Trường Tộ,"74 Nguyễn Trường Tộ, P. Trúc Bạch, Quận Ba Đình, Hà Nội","21.043458, 105.842552"
Bánh Cốm Nguyên Ninh 71 - Bánh Cốm Ngon - Hàng Than,"73 Hàng Than, P. Nguyễn Trung Trực, Quận Ba Đình, Hà Nội","21.0404886, 105.8477135"
Phong Ớ - Bò Nướng & Lẩu Ếch,"72 - 74 Phó Đức Chính, Quận Ba Đình, Hà Nội","21.04805, 105.841949"
Xiên Que Tự Chọn - Trường Tiểu Học Đại Yên,"Tiểu Học Đại Yên, Đội Cấn, Quận Ba Đình, Hà Nội","21.035973, 105.825161"
Xiên Que Tự Chọn - Trường THCS Thăng Long,"46A Nguyễn Văn Ngọc, Quận Ba Đình, Hà Nội","21.032717, 105.810879"
Trà Sữa Bumba - Thụy Khuê,"251S Thụy Khuê, Quận Ba Đình, Hà Nội","21.043399, 105.816635"
Sinh Tố Hồng - Hàng Bún,"52 Hàng Bún, P. Quán Thánh, Quận Ba Đình, Hà Nội","21.0408915, 105.8439588"
Phở Gà - Đội Cấn,"Ngõ 285 Đội Cấn, P. Liễu Giai, Quận Ba Đình, Hà Nội","21.036094, 105.818642"
Lẩu Mắm Bà Sáu,"41 Văn Cao, Quận Ba Đình, Hà Nội","21.0409578, 105.816379"
3 Duy - Mỳ Chua Cay,"38 Hồng Phúc, P. Nguyễn Trung Trực, Quận Ba Đình, Hà Nội","21.04073, 105.848446"
Món Ngon 247 - Cơm Ngon Văn Phòng Online,"5 Ngõ 59 Hoàng Hoa Thám, P. Ngọc Hà, Quận Ba Đình, Hà Nội","21.039644, 105.827258"
Cháo Trai - Nguyễn Văn Ngọc,"42 Nguyễn Văn Ngọc, P. Cống Vị, Quận Ba Đình, Hà Nội","21.0331725, 105.8112258"
Veggie Castle - Món Chay - 38 Ngọc Khánh,"38 Ngọc Khánh, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.0292722, 105.8172995"
Bánh Đa Trộn Cô Sêu - Láng Hạ,"101 H6 Ngõ 12 Láng Hạ, Quận Ba Đình, Hà Nội","21.020451, 105.8171"
Cece' Box - Gà Rán Hàn Quốc Online,"4 Ngõ 221 Kim Mã, Quận Ba Đình, Hà Nội","21.031452, 105.822692"
Bà Phòng - Cháo & Mì Xào,"113 Tân Ấp, P. Phúc Xá, Quận Ba Đình, Hà Nội","21.0478839, 105.8478182"
Rosemary Kitchen & Sandwicherie - Giảng Võ,"102 Ngách 2 Ngõ 140 Giảng Võ, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.027659, 105.823743"
Quán Vịt Văn Hường - Hồng Hà,"9 Hồng Hà, Quận Ba Đình, Hà Nội","21.0493611, 105.841617"
Cỏ Mỹ - Lẩu & Nướng,"14A Ngọc Hà, P. Đội Cấn, Quận Ba Đình, Hà Nội","21.033788, 105.831402"
Ngọc Thuốc C2 - Bánh Mì Kẹp Thịt,"100A C2, Ngõ 34A Trần Phú, Quận Ba Đình, Hà Nội","21.030805, 105.843144"
Mì Ngon Số 3 - Chợ Hòe Nhai,"3 Chợ Hòe Nhai (Cạnh Bít Tết Số 5), Quận Ba Đình, Hà Nội","21.041418, 105.846809"
Thủy - Bún Ốc Thịt Bò,"13 Hòe Nhai, Quận Ba Đình, Hà Nội","21.041368, 105.846555"
Bún Riêu & Cafe - Đội Cấn,"56 Đội Cấn, Quận Ba Đình, Hà Nội","21.0343741, 105.8303202"
Nem Nộm Gia Truyền Hoa Mai - Thành Công,"111A5 Thành Công, Quận Ba Đình, Hà Nội","21.021187, 105.813646"
Đài Loan Trà Quán 1102 - Cháo & Trà,"3 Phan Đình Phùng, P. Quán Thánh, Quận Ba Đình, Hà Nội","21.039896, 105.845633"
Đức Dũng - Bánh Mì Doner Kebab - Đội Cấn,"297 Đội Cấn, P. Liễu Giai, Quận Ba Đình, Hà Nội","21.0355487, 105.8182399"
Khoa Gà - Gà Không Lối Thoát Online - Trần Huy Liệu,"101 - D6  Trần Huy Liệu, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.026281, 105.820892"
Sữa Dê Tươi,"C4 Giảng Võ, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.02666, 105.822921"
Kem Dừa Hàng Than,"29 Hàng Than, Quận Ba Đình, Hà Nội","21.0416328, 105.8471752"
Hồng Anh Cuốn - Bánh Tráng Thịt Heo,"38B C8 TT Giảng Võ (Ngõ 12 Núi Trúc), Quận Ba Đình, Hà Nội","21.028393, 105.822649"
Swirl Bakery - Shop Online,"150D Ngõ 150 Ngọc Hà, Quận Ba Đình, Hà Nội","21.038584, 105.829184"
Phở Lý Quốc Sư - Đào Tấn,"56 Đào Tấn, Quận Ba Đình, Hà Nội","21.0328467, 105.808036"
Vinh Tẩm - Chocolate & More - Kim Mã,"291 Kim Mã, Quận Ba Đình, Hà Nội","21.03062481, 105.8183337"
Quán Ngan Quê - Nguyễn Chí Thanh,"32 Nguyễn Chí Thanh, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.0260996, 105.8117127"
Thuý Hạnh - Bánh Cuốn Đêm,"15 Kim Mã, P. Kim Mã, Quận Ba Đình, Hà Nội","21.032323, 105.828548"
Bánh Bao Nóng & Sữa Xay - Nguyên Hồng,"1B Nguyên Hồng, P. Thành Công, Quận Ba Đình, Hà Nội","21.0246883, 105.811592"
Botejyu - Vincom Center Metropolis,"Lầu 3 (L3-05) Vincom Center Metropolis, 29 Liễu Giai, Quận Ba Đình, Hà Nội, Quận Ba Đình, Hà Nội","21.03133573, 105.8145964"
Bún Thái Hải Sản - Ngũ Xã,"24 Ngũ Xã, Quận Ba Đình, Hà Nội","21.04613471, 105.8413149"
Xôi Nga - Phúc Xá,"19 Phúc Xá, P. Phúc Xá, Quận Ba Đình, Hà Nội","21.046106, 105.849203"
Mokchang - Đồ Ăn Hàn Quốc - Láng Hạ,"14 - 16 Ngõ 81 Láng Hạ, P. Thành Công, Quận Ba Đình, Hà Nội","21.0175615, 105.8171673"
Bánh Trôi Tàu,"Phố Quán Thánh, Quận Ba Đình, Hà Nội","21.042398, 105.842484"
Sweet Bowl - Tiệm Chè Ngọt Ngào - Đặng Tất,"12 Đặng Tất, Quận Ba Đình, Hà Nội","21.042015, 105.837948"
San Fu Lou - Ẩm Thực Quảng Đông - Vincom Liễu Giai,"Tầng 2, Vincom Center, 29 Liễu Giai, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.031832, 105.814237"
Bún Chả Liên Anh,"148 Ngọc Khánh, P. Giàng Võ, Quận Ba Đình, Hà Nội","21.025766, 105.8182449"
Bún Chả Que Tre - Nguyễn Khắc Nhu,"Đối Diện 29 Nguyễn Khắc Nhu, P. Nguyễn Trung Trực, Quận Ba Đình, Hà Nội","21.043769, 105.846012"
Bánh Bao - Ngõ Tôn Thất Thiệp,"5 Ngõ Tôn Thất Thiệp, Quận Ba Đình, Hà Nội","21.029675, 105.842819"
Papa's Kitchen - Đồ Ăn Hàn Quốc & Chân Gà Sốt Thái - Dốc Phụ Sản,"83A Dốc Phụ Sản, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.0267443, 105.8096"
Bà Nga - Bún Thang & Phở Gà,"31 Phúc Xá, P. Phúc Xá, Quận Ba Đình, Hà Nội","21.04505, 105.849529"
Mama's Bakery - Bánh Mì Nhật Bản,"Tầng 1, 5 Ngõ 535 Kim Mã, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.029471, 105.810379"
MChef Sawadee - Liễu Giai,"6A Ngõ 42 Liễu Giai, Quận Ba Đình, Hà Nội","21.03452241, 105.8137347"
Croissant Bakery,"172 Đội Cấn, Quận Ba Đình, Hà Nội","21.034926, 105.824363"
"Ngon - Bún Bò Nam Bộ, Phở Cuốn & Chè, Caramen","101 H3 Thành Công, P. Thành Công, Quận Ba Đình, Hà Nội","21.0205883, 105.8157427"
CCCP Restaurant & Cafe - Ẩm Thực Nga,"103 Ngõ 84 Ngọc Khánh, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.027007, 105.8162762"
Bánh Mì Đức Đức - Doner Kebab & Hot Dog,"12 Quán Thánh, Quận Ba Đình, Hà Nội","21.0403733, 105.8465425"
Chị Hoa - Cháo Trai Xứ Huế,"103 A4 Tập Thể Thành Công, P. Thành Công, Quận Ba Đình, Hà Nội","21.021158, 105.813275"
Cơm Ngũ Vị - Vạn Phúc,"100 Vạn Phúc, Quận Ba Đình, Hà Nội","21.033481, 105.815911"
Buffet Hà Nội Vặt,"113 D4 Giảng Võ, Quận Ba Đình, Hà Nội","21.026382, 105.821331"
Paku Paku - Japanese Restaurant,"35 Linh Lang, Quận Ba Đình, Hà Nội","21.0357163, 105.8104446"
Sữa Chua Trân Châu Hạ Long - 107 A6 Trần Huy Liệu,"107 A6 Trần Huy Liệu, Khu TT Giảng Võ, Quận Ba Đình, Hà Nội","21.030451, 105.819587"
Thu Hương & Maian Bakers - Phan Đình Phùng,"37A Phan Đình Phùng, P. Quán Thánh, Quận Ba Đình, Hà Nội","21.040334, 105.843285"
Oanh Vân - Hủ Tiếu Nem Cuốn,"32T Hòe Nhai, P. Nguyễn Trung Trực, Quận Ba Đình, Hà Nội","21.04083, 105.845981"
Tuk Tuk - Gà Rán,"47 Dốc Tam Đa, Quận Ba Đình, Hà Nội","21.04252305, 105.8186874"
Ngan Dé - Ngan Đủ Món,"118 H2 Thành Công, Quận Ba Đình, Hà Nội","21.0200995, 105.816313"
Artisée Cafe Deli - Lotte Center,"Tầng 6, Lotte Center, 54 Liễu Giai, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.0314726, 105.8131124"
Hùng Thái - Bún Chả Hàng Mành - Thành Công,"109 B1 Thành Công, P. Thành Công, Quận Ba Đình, Hà Nội","21.0206895, 105.8145172"
Yu Tang - Trà Sữa & Mỳ Đài Loan - Trần Huy Liệu,"2 Trần Huy Liệu, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.03068, 105.819553"
Thịnh Cafe - Giang Văn Minh,"53 Giang Văn Minh, P. Kim Mã, Quận Ba Đình, Hà Nội","21.0329027, 105.8270375"
All Beans - Coffee Roasters - 14 Phạm Huy Thông,"14 Phạm Huy Thông, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.0286703, 105.8107127"
Tacos Fresh And More - Trúc Bạch,"45 Trúc Bạch, P. Trúc Bạch, Quận Ba Đình, Hà Nội","21.0482725, 105.8407573"
Food Family - Shop Online,"17 Ngõ 343/2 Đội Cấn, P. Đội Cấn, Quận Ba Đình, Hà Nội","21.036293, 105.816758"
Quán Tâm - Cơm Các Món,"389B Đội Cấn, P. Vĩnh Phúc, Quận Ba Đình, Hà Nội","21.03800789, 105.8125123"
Cửa Hàng Ăn Uống Mậu Dịch Số 37,"37 Nam Tràng, P. Trúc Bạch, Quận Ba Đình, Hà Nội","21.047004, 105.840776"
Quán Chay HAAN - Đào Tấn,"71 Đào Tấn, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.0331439, 105.8065576"
Tú Tịt - Bánh Xèo & Nem Lụi,"15 Ngõ 135 Đội Cấn, P. Ngọc Hà, Quận Ba Đình, Hà Nội","21.036271, 105.828186"
Ngon Buffet,"38 Ngọc Khánh, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.026747, 105.817676"
Bánh Cuốn Gia Truyền & Bún Chả - Thành Công,"106 - 107 D7 Thành Công, P. Thành Công, Quận Ba Đình, Hà Nội","21.0233841, 105.812178"
Song Linh Keto Bakery - Shop Online,"8 Ngõ 62 Văn Cao, P. Liễu Giai, Quận Ba Đình, Hà Nội","21.038432, 105.815145"
Kinh Bắc Đệ Nhất Chim,"77 Văn Cao, Quận Ba Đình, Hà Nội","21.04000091, 105.8159817"
Tâm Quán - Ngọc Khánh,"103 Ngọc Khánh, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.026328, 105.817823"
Hải Sản Hương Lan - Nghĩa Dũng,"42 Ngõ 12 Nghĩa Dũng, P. Phúc Xá, Quận Ba Đình, Hà Nội","21.0486279, 105.846995"
Kei - Korean Food & Coffee Style - Cao Bá Quát,"38A Cao Bá Quát, Quận Ba Đình, Hà Nội","21.030237, 105.837709"
KingRoti - Kim Mã,"331A Kim Mã, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.030543, 105.818092"
Hải Sản Tươi Sống - Quán Thánh,"170 Quán Thánh, Quận Ba Đình, Hà Nội","21.042783, 105.839816"
Helio Coffee - Đào Tấn,"2 Đào Tấn, Quận Ba Đình, Hà Nội","21.033978, 105.805613"
Street Sushi - Đội Cấn,"464 Đội Cấn, Quận Ba Đình, Hà Nội","21.03775, 105.809429"
Phở Cồ - Phở Xào & Cơm Rang,"65 Tân Ấp, P. Phúc Xá, Quận Ba Đình, Hà Nội","21.04671, 105.846963"
Hải Hà Kotobuki Bakery - Văn Cao,"54 Văn Cao, Quận Ba Đình, Hà Nội","21.039165, 105.815367"
Chè Bobochacha - Cửa Bắc,"Ngõ 92 Cửa Bắc, Quận Ba Đình, Hà Nội","21.041669, 105.842285"
Chè Mai Tiến - Giảng Võ,"Tập Thể C5 Giảng Võ, Trần Huy Liệu, Quận Ba Đình, Hà Nội","21.026753, 105.822918"
Món Huế - Nguyễn Chí Thanh,"35 Nguyễn Chí Thanh, Quận Ba Đình, Hà Nội","21.0269758, 105.8121472"
Mr. Spaghetti - Kim Mã,"283 Kim Mã, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.030604, 105.8191289"
Bánh Su Kem Nhật Bản Beard Papa’s - Phan Đình Phùng,"6D Phan Đình Phùng, Quận Ba Đình, Hà Nội","21.040114, 105.844637"
Hiền - Chim Quay Móc Mật,"218 Đội Cấn, P. Liễu Giai, Quận Ba Đình, Hà Nội","21.035367, 105.8188374"
Chè Sầu - Văn Cao,"44 Văn Cao, Quận Ba Đình, Hà Nội","21.038744, 105.815312"
Jeonbok - Nhà Hàng Hàn Quốc - Vincom Metropolis,"Tòa M2 Vincom Metropolis, 29 Liễu Giai, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.031112, 105.815142"
Daewoo Deli Bakery - Daewoo Hotel,"360 Kim Mã, Quận Ba Đình, Hà Nội","21.030177, 105.811791"
Chun Chun Quán - Trứng Chiên Nướng & Cút Lộn Muối Tiêu,"104 Trấn Vũ, Quận Ba Đình, Hà Nội","21.043443, 105.841254"
Kozakura - Ẩm Thực Nhật Bản,"Tầng 2, 551 Kim Mã, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.029836, 105.810424"
Luận Hương - Lẩu Vịt & Vịt Quay,"217 Kim Mã, P. Kim Mã, Quận Ba Đình, Hà Nội","21.03137462, 105.823558"
Phở Lý Quốc Sư - Thành Công,"120B1 Thành Công, P. Thành Công, Quận Ba Đình, Hà Nội","21.020681, 105.814934"
Ốc Nhớ 37 - Đội Cấn,"8 Ngõ 135 Đội Cấn, P. Ngọc Hà, Quận Ba Đình, Hà Nội","21.036207, 105.828514"
Gimbab Hàn Quốc - Ngọc Khánh,"52 Ngọc Khánh, Quận Ba Đình, Hà Nội","21.028991, 105.817394"
Mokchang Tea & Chicken Hàn Quốc - Láng Hạ,"16 Ngõ 81 Láng Hạ, P. Thành Công, Quận Ba Đình, Hà Nội","21.018068, 105.816473"
Hoa Ban Quán,"266A Đội Cấn, P. Liễu Giai, Quận Ba Đình, Hà Nội","21.03643886, 105.8160542"
Chez Moi - Bánh Ngọt Pháp - Quán Thánh,"33 Quán Thánh, Quận Ba Đình, Hà Nội","21.0420808, 105.8436525"
Anh Thư - Bánh Cuốn Cao Bằng,"54/158 Phố Ngọc Hà, P. Ngọc Hà, Quận Ba Đình, Hà Nội","21.0377829, 105.8297417"
PHÒ MÃ - 379 Đội Cấn,"4/8 Ngõ 379 Đội Cấn, P. Đội Cấn, Quận Ba Đình, Hà Nội","21.0379336, 105.8141932"
Ngan Ngon - Trần Huy Liệu,"101B1 Trần Huy Liệu, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.030101, 105.819885"
Ben Fruity - Hoa Quả Gọt Sẵn & Nước Ép Online,"21B Phúc Xá, P. Phúc Xá, Quận Ba Đình, Hà Nội","21.046236, 105.849188"
Zôm Foody - Đồ Ăn Chay Online,"58/32 Phúc Xá, Quận Ba Đình, Hà Nội","21.0436243, 105.8495085"
New Sake 2 - Ẩm Thực Nhật,"48 Đào Tấn, Quận Ba Đình, Hà Nội","21.032561, 105.809063"
Long Thủy - Bún Thái Hải Sản - Ngũ Xã,"24 Ngũ Xã, Quận Ba Đình, Hà Nội","21.0460774, 105.8411774"
Phở Ngọc Vượng - Huỳnh Thúc Kháng,"106 - G22 Huỳnh Thúc Kháng, Quận Ba Đình, Hà Nội","21.0187925, 105.8110133"
Loan Béo - Bánh Xèo Nem Lụi,"153D Đội Cấn, P. Đội Cấn, Quận Ba Đình, Hà Nội","21.034945, 105.826308"
Cô Thuyết - Tào Phớ,"Ngõ 9 Đào Tấn, Quận Ba Đình, Hà Nội","21.03254126, 105.8077893"
Bếp Ngon Hương Thuỷ - Cơm Văn Phòng Bình Dân - Ngọc Hà,"Số 150c Ngõ 158 Ngọc Hà, P. Ngọc Hà, Quận Ba Đình, Hà Nội","21.0372857, 105.8265813"
Quán Mỳ Chờ - Mỳ Vằn Thắn & Dimsum - 26 Phạm Huy Thông,"26 Phạm Huy Thông, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.0281656, 105.8099555"
"Cơm, Gà Rán & Mì Trộn Bếp Nhà Cám","1 Ngách 12 Ngõ 12 Nghĩa Dũng, P. Phúc Xá, Quận Ba Đình, Hà Nội","21.048843, 105.845307"
Ba Ba Trường Thịnh,"18 Liễu Giai, Quận Ba Đình, Hà Nội","21.03647266, 105.8146048"
Bò Nầm Nướng - Hàng Than,"12 Hàng Than, Quận Ba Đình, Hà Nội","21.043043, 105.847183"
Tuấn Râu - Phở & Lẩu Bò,"643 Đê La Thành, P. Thành Công, Quận Ba Đình, Hà Nội","21.0241872, 105.8126385"
Bún Riêu Cô Đào,"Chợ Long Biên, Quận Ba Đình, Hà Nội","21.04135, 105.850393"
Chả Cá Vọng Ngư - Nguyễn Chí Thanh,"29 Nguyễn Chí Thanh, Quận Ba Đình, Hà Nội","21.0286113, 105.8127205"
Bánh Xíu Páo - Đền Quán Thánh,"Đền Quán Thánh, Ngã Rẽ Quán Thánh - Thanh Niên, Quận Ba Đình, Hà Nội","21.04289, 105.836052"
Gà Rán KFC - Nguyễn Trường Tộ,"34 Hàng Bún (Ngã tư Nguyễn Trường Tộ - Hàng Bún), Quận Ba Đình, Hà Nội","21.04229, 105.845075"
Phở 58 Nguyễn Khuyến,"1 Ngõ 14 Huỳnh Thúc Kháng, Quận Ba Đình, Hà Nội","21.01866866, 105.8114247"
Wa Japanese Cuisine,"34G Trần Phú, Quận Ba Đình, Hà Nội","21.030443, 105.84258"
Bún Bò Nam Bộ - Shop Online - Đội Cấn,"5 Ngõ 167 Đội Cấn, P. Đội Cấn, Quận Ba Đình, Hà Nội","21.0349313, 105.8245735"
Paris Baguette - Vincom Metropolis,"B1-K4, Vincom Center Metropolis, 29 Liễu Giai, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.031914, 105.813864"
Oanh Hòe Nhai - Bánh Đúc Nóng & Chè Sắn - Hàng Than,"14C Hàng Than, P. Nguyễn Trung Trực, Quận Ba Đình, Hà Nội","21.042273, 105.847151"
Grainne - Tea & Coffee,"32 Nguyễn Văn Ngọc, P. Cống Vị, Quận Ba Đình, Hà Nội","21.033306, 105.811472"
Gốc Bàng Hạ Long - Bánh Cuốn Chả Mực,"68 Trần Phú, Quận Ba Đình, Hà Nội","21.032569, 105.832005"
Bún Cá Huyền - Quán Thánh,"174 Quán Thánh, P. Quán Thánh, Quận Ba Đình, Hà Nội","21.042861, 105.839406"
"Mì Vằn Thắn, Sủi Cảo - Kim Mã","34 Kim Mã, P. Kim Mã, Quận Ba Đình, Hà Nội","21.0324702, 105.8283377"
Sushibar - Nhà Hàng Nhật Bản - Kim Mã,"107 A5 Giảng Võ, P. Giảng Võ , Quận Ba Đình, Hà Nội","21.0307115, 105.8192168"
Manwah Taiwanese Hotpot - Lotte Liễu Giai,"Tầng 6, TTTM Lotte Center, 54 Liễu Giai, Quận Ba Đình, Hà Nội","21.031839, 105.812975"
Belcholat Chocolatier - Vạn Phúc,"108B Vạn Phúc, P. Liễu Giai, Quận Ba Đình, Hà Nội","21.0337195, 105.8152414"
Caramen Kim Yến - Hàng Than,"31 Hàng Than, Quận Ba Đình, Hà Nội","21.041986, 105.847362"
Mr. Tuk Tuk - Món Thái - Láng Hạ,"6A Láng Hạ, P. Thành Công, Quận Ba Đình, Hà Nội","21.0220376, 105.8184184"
Miến Lươn Hoa - Đội Cấn,"116 Đội Cấn, P. Cống Vị, Quận Ba Đình, Hà Nội","21.0350345, 105.8255216"
Cháo Ngon 39,"39 Văn Cao, P. Liễu Giai, Quận Ba Đình, Hà Nội","21.041059, 105.816372"
Spaghetti Box - Giang Văn Minh,"90A Ngõ Núi Trúc, Giang Văn Minh, P. Kim Mã, Quận Ba Đình, Hà Nội","21.0301053, 105.8265682"
Goethe Cafe,"56-58 Nguyễn Thái Học, Quận Ba Đình, Hà Nội","21.029692, 105.838594"
"Al Fresco's - Pizza, Mỳ Ý, Sườn, Steak Bò Bít Tết - Vinhomes Metropolis","L2-11, Tầng 2, Vinhomes Metropolis, 29 Liễu Giai, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.032071, 105.815159"
Machi Ramen,"Số 28 Ngõ 267/2 Hoàng Hoa Thám, P. Liễu Giai, Quận Ba Đình, Hà Nội","21.0413257, 105.8188055"
Gimbab Hàn Quốc - 66 Phạm Huy Thông,"Tầng 2 Số 66 Phạm Huy Thông, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.0270519, 105.8101123"
